geocode,municipio,casos_total,casos_est,temp_min_media,temp_med_media,temp_max_media,umid_min_media,umid_med_media,umid_max_media,populacao,pib_bruto_mil,pct_esgoto,pct_agua,pct_lixo_coletado,area_km2,pib_percapita,incidencia,dens_demog,grupo
3505351,Barra do Chapéu,63,63,14.515109615384613,18.031799450549453,22.795490109890107,62.92273791208791,84.60344752747253,97.21738076923076,5254,202870,37.10021321961621,51.33262260127932,85.87420042643923,406.90915354651486,38612.48572516178,1199.086410354016,12.911972990058091,2
3505401,Barra do Turvo,26,26,15.702321428571427,18.700555219780224,22.53859395604396,70.933025,87.492425,97.59312362637363,6894,145159,40.3883495145631,46.09708737864078,89.90291262135922,1009.7367668191655,21055.84566289527,377.13954163040324,6.827522010233635,2
3505500,Barretos,9494,9494,19.661202747252748,24.378760989010985,29.613117857142853,42.22113653846154,60.09607994505495,77.39679835164834,126957,6715414,97.88625960791087,97.12194490025045,98.39148458416098,1570.7995091075798,52895.184983892184,7478.122513922036,80.8231726989323,1
3505609,Barrinha,2446,2446,18.54140412087912,23.418044780219766,28.78690137362637,43.65764945054946,62.39185357142857,80.64464175824176,33304,737580,98.16898892461593,98.49053233297607,99.74991068238657,146.1741488543668,22146.889262551045,7344.463127552246,227.83782399978776,1
3505708,Barueri,13009,13009,15.53928324175825,19.21163214285714,24.085971153846153,55.690138186813186,78.34903708791208,93.6642348901099,333737,71646710,97.64297460259456,99.64461903891832,99.974419879408,65.99716392409174,214680.15233552168,3897.9795467688627,5056.838508755555,2
3505807,Bastos,664,664,18.876115384615385,23.715848351648358,29.103581593406595,44.71298351648352,63.115430219780215,80.90306153846153,21936,1596603,86.20140639511742,85.02056521162265,92.71593472203796,171.07575479441655,72784.60065645514,3026.9876002917576,128.22389722237796,1
3505906,Batatais,7893,7893,17.369673901098892,22.079893131868136,27.22135549450549,45.74089038461539,64.29290274725275,81.96692252747252,59939,3328690,97.17593240909304,97.19927181067078,98.25888064230033,852.2972261852914,55534.62687065183,13168.387860992008,70.3264051066724,1
3506003,Bauru,27409,27409,18.117141483516487,22.73780357142858,28.092056043956042,45.85958186813186,65.65754917582417,84.15873956043956,392947,20654759,97.07140459748773,95.96880735255262,99.4108531560418,669.5693717752694,52563.727423800156,6975.240935800503,586.8652548400714,1
3506102,Bebedouro,2218,2218,18.868016208791207,23.572760714285717,28.856637912087916,43.87746456043956,61.890904395604394,78.94696675824176,78257,5343661,97.05693493150685,96.55037100456622,98.36258561643835,685.0339698514001,68283.48901695696,2834.2512490895383,114.2381304345765,1
3506201,Bento de Abreu,313,313,19.695574175824177,24.40448598901099,29.689851923076926,44.18626373626374,62.15693681318681,79.51096236263736,2640,288020,93.11087190527448,93.0032292787944,95.80193756727664,302.60404278153527,109098.48484848485,11856.060606060606,8.724272074269496,1
